Template,1,2,3,4,5,6,7,8,9,10,11,12
A,BG_sub_blank,NAG_sub_blank,BG_assay,P_assay,NAG_assay,Cello_assay,quench_MUB2.5,quench_MUB2.6,empty,empty,Hombl,Buf
B,BG_sub_blank,NAG_sub_blank,BG_assay,P_assay,NAG_assay,Cello_assay,quench_MUB2.5,quench_MUB2.6,empty,empty,Hombl,Buf
C,BG_sub_blank,NAG_sub_blank,BG_assay,P_assay,NAG_assay,Cello_assay,quench_MUB1.25,quench_MUB1.26,empty,empty,Hombl,Buf
D,BG_sub_blank,NAG_sub_blank,BG_assay,P_assay,NAG_assay,Cello_assay,quench_MUB1.25,quench_MUB1.26,empty,empty,Hombl,Buf
E,P_sub_blank,Cello_sub_blank,BG_assay,P_assay,NAG_assay,Cello_assay,quench_MUB0.625,quench_MUB0.626,empty,empty,Hombl,Buf
F,P_sub_blank,Cello_sub_blank,BG_assay,P_assay,NAG_assay,Cello_assay,quench_MUB0.625,quench_MUB0.626,empty,empty,Hombl,Buf
G,P_sub_blank,Cello_sub_blank,BG_assay,P_assay,NAG_assay,Cello_assay,quench_MUB0.16,quench_MUB0.17,empty,empty,Hombl,Buf
H,P_sub_blank,Cello_sub_blank,BG_assay,P_assay,NAG_assay,Cello_assay,quench_MUB0.16,quench_MUB0.17,empty,empty,Hombl,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,mub_2.5,mub_2.5,,,,
B,,,,,,,mub_2.5,mub_2.5,,,,
C,,,,,,,mub_1.25,mub_1.25,,,,
D,,,,,,,mub_1.25,mub_1.25,,,,
E,,,,,,,mub_0.625,mub_0.625,,,,
F,,,,,,,mub_0.625,mub_0.625,,,,
G,,,,,,,mub_0.16,mub_0.16,,,,
H,,,,,,,mub_0.16,mub_0.16,,,,
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
