Template,1,2,3,4,5,6,7,8,9,10,11,12
A,MUB2.5,MUB2.5,empty,empty,empty,empty,empty,empty,empty,empty,empty,Buf
B,MUB2.5,MUB2.5,empty,empty,empty,empty,empty,empty,empty,empty,empty,Buf
C,MUB1.25,MUB1.25,empty,empty,empty,empty,empty,empty,empty,empty,empty,Buf
D,MUB1.25,MUB1.25,empty,empty,empty,empty,empty,empty,empty,empty,empty,Buf
E,MUB0.63,MUB0.63,empty,empty,empty,empty,empty,empty,empty,empty,empty,Buf
F,MUB0.63,MUB0.63,empty,empty,empty,empty,empty,empty,empty,empty,empty,Buf
G,MUB0.16,MUB0.16,empty,empty,empty,empty,empty,empty,empty,empty,empty,Buf
H,MUB0.16,MUB0.16,empty,empty,empty,empty,empty,empty,empty,empty,empty,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,mub_2.5,mub_2.5,,,,,,,,,,
B,mub_2.5,mub_2.5,,,,,,,,,,
C,mub_1.25,mub_1.25,,,,,,,,,,
D,mub_1.25,mub_1.25,,,,,,,,,,
E,mub_0.63,mub_0.63,,,,,,,,,,
F,mub_0.63,mub_0.63,,,,,,,,,,
G,mub_0.16,mub_0.16,,,,,,,,,,
H,mub_0.16,mub_0.16,,,,,,,,,,
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
