Template,1,2,3,4,5,6,7,8,9,10,11,12
A,PO_bl,PER_bl,PO_S1,PER_S1,PO_S2,PER_S2,PO_S3,PER_S3,Hombl_S1,Hombl_S2,Hombl_S3,Buf
B,PO_bl,PER_bl,PO_S1,PO_S1,PO_S2,PER_S2,PO_S3,PER_S3,Hombl_S1,Hombl_S2,Hombl_S3,Buf
C,PO_bl,PER_bl,PO_S1,PO_S1,PO_S2,PER_S2,PO_S3,PER_S3,Hombl_S1,Hombl_S2,Hombl_S3,Buf
D,PO_bl,PER_bl,PO_S1,PO_S1,PO_S2,PER_S2,PO_S3,PER_S3,Hombl_S1,Hombl_S2,Hombl_S3,Buf
E,PO_bl,PER_bl,PO_S1,PO_S1,PO_S2,PER_S2,PO_S3,PER_S3,Hombl_S1,Hombl_S2,Hombl_S3,Buf
F,PO_bl,PER_bl,PO_S1,PO_S1,PO_S2,PER_S2,PO_S3,PER_S3,Hombl_S1,Hombl_S2,Hombl_S3,Buf
G,PO_bl,PER_bl,PO_S1,PO_S1,PO_S2,PER_S2,PO_S3,PER_S3,Hombl_S1,Hombl_S2,Hombl_S3,Buf
H,PO_bl,PER_bl,PO_S1,PO_S1,PO_S2,PER_S2,PO_S3,PER_S3,Hombl_S1,Hombl_S2,Hombl_S3,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
